Age,Height,Weight,Bmi,BmiClass,dance,target
47,1.55,40,16.64932362,Underweight,no,Strength_training
47,1.65,75.3,27.6584022,Overweight,yes,Dance
47,1.52,36.8,15.92797784,Underweight,yes,Dance
47,1.82,99.7,30.09902186,Obese,yes,Dance
47,1.75,112.2,36.63673469,Obese,yes,Dance
46,1.74,78.99,26.08997226,Overweight,yes,Dance
46,1.73,74.29,24.82207892,Normal Weight,yes,Dance
46,1.75,83.69,27.32734694,Overweight,yes,Dance
46,1.86,70,20.23355301,Normal Weight,yes,Dance
46,1.73,77,25.72755521,Overweight,yes,Dance
46,1.52,36.9,15.97126039,Underweight,yes,Dance
46,1.74,111.2,36.72876206,Obese,yes,Dance
45,1.74,78.98,26.08666931,Overweight,yes,Dance
45,1.73,74.38,24.85215009,Normal Weight,yes,Dance
45,1.75,83.58,27.29142857,Overweight,yes,Dance
45,1.68,140,49.6031746,Obese,yes,Dance
45,1.84,68,20.08506616,Normal Weight,yes,Dance
45,1.72,78.3,26.46700919,Overweight,yes,Dance
45,1.53,37,15.80588662,Underweight,yes,Dance
45,1.78,90.7,28.62643606,Overweight,yes,Dance
45,1.8,116,35.80246914,Obese,yes,Dance
44,1.74,78.62,25.96776324,Overweight,yes,Dance
44,1.73,74.12,24.76527782,Normal Weight,yes,Dance
44,1.75,83.12,27.14122449,Overweight,yes,Dance
44,1.82,66,19.92512982,Normal Weight,yes,Dance
44,1.71,74.4,25.44372627,Overweight,yes,Dance
44,1.53,37.2,15.89132385,Underweight,yes,Dance
44,1.8,96.1,29.66049383,Overweight,yes,Dance
44,1.79,116.4,36.32845417,Obese,yes,Dance
43,1.74,78.61,25.9644603,Overweight,yes,Dance
43,1.73,74.21,24.79534899,Normal Weight,yes,Dance
43,1.75,83.01,27.10530612,Overweight,yes,Dance
43,1.8,64,19.75308642,Normal Weight,yes,Dance
43,1.69,72.2,25.27922692,Overweight,yes,Dance
43,1.54,37.4,15.76994434,Underweight,yes,Dance
43,1.78,114.5,36.13811387,Obese,yes,Dance
42,1.74,78.6,25.96115735,Overweight,yes,Dance
42,1.73,74.3,24.82542016,Normal Weight,yes,Dance
42,1.75,82.9,27.06938776,Overweight,yes,Dance
42,1.65,90,33.05785124,Obese,yes,Dance
42,1.78,62,19.56823633,Normal Weight,yes,Dance
42,1.75,76.5,24.97959184,Normal Weight,yes,Dance
42,1.54,37.5,15.81210997,Underweight,yes,Dance
42,1.79,93.8,29.27499142,Overweight,yes,Dance
42,1.75,112,36.57142857,Obese,yes,Dance
41,1.74,78.59,25.95785441,Overweight,yes,Dance
41,1.73,74.39,24.85549133,Normal Weight,yes,Dance
41,1.75,82.79,27.03346939,Overweight,yes,Dance
41,1.76,60,19.36983471,Normal Weight,yes,Dance
41,1.72,78.6,26.56841536,Overweight,yes,Dance
41,1.55,37.7,15.69198751,Underweight,yes,Dance
41,1.73,110.1,36.78706272,Obese,yes,Dance
40,1.74,78.58,25.95455146,Overweight,yes,Dance
40,1.73,74.48,24.8855625,Normal Weight,yes,Dance
40,1.75,82.68,26.99755102,Overweight,yes,Dance
40,1.729,74.48,24.9143569,Normal Weight,yes,Dance
40,1.7,105,36.33217993,Obese,yes,Dance
40,1.74,58,19.15708812,Normal Weight,yes,Dance
40,1.7,75,25.95155709,Overweight,yes,Dance
40,1.56,38,15.61472715,Underweight,yes,Dance
40,1.68,108.6,38.47789116,Obese,yes,Dance
39,1.74,77.42,25.5714097,Overweight,yes,Dance
39,1.73,73.42,24.53139096,Normal Weight,yes,Dance
39,1.75,81.42,26.58612245,Overweight,yes,Dance
39,1.729,73.42,24.55977556,Normal Weight,yes,Dance
39,1.72,56,18.92915089,Normal Weight,yes,Dance
39,1.66,71.7,26.01974162,Overweight,yes,Dance
39,1.56,38.3,15.73800131,Underweight,yes,Dance
39,1.78,90.2,28.4686277,Overweight,yes,Dance
39,1.74,111.7,36.89390937,Obese,yes,Dance
38,1.74,77.41,25.56810675,Overweight,yes,Dance
38,1.73,73.51,24.56146213,Normal Weight,yes,Dance
38,1.75,81.31,26.55020408,Overweight,yes,Dance
38,1.729,73.51,24.58988152,Normal Weight,yes,Dance
38,1.68,80,28.3446712,Overweight,yes,Dance
38,1.7,54,18.68512111,Normal Weight,yes,Dance
38,1.71,74.8,25.5805205,Overweight,yes,Dance
38,1.57,38.7,15.70043409,Underweight,yes,Dance
38,1.77,88.3,28.18474895,Overweight,yes,Dance
38,1.78,118.9,37.52682742,Obese,yes,Dance
37,1.74,77.4,25.5648038,Overweight,yes,Dance
37,1.73,73.6,24.5915333,Normal Weight,yes,Dance
37,1.75,81.2,26.51428571,Overweight,yes,Dance
37,1.729,73.6,24.61998748,Normal Weight,yes,Dance
37,1.7298,80.4,26.86978944,Overweight,yes,Dance
37,1.68,52,18.42403628,Underweight,yes,Dance
37,1.67,71.1,25.49392233,Overweight,yes,Dance
37,1.58,39.1,15.66255408,Underweight,yes,Dance
37,1.76,113.3,36.57670455,Obese,yes,Dance
36,1.74,77.39,25.56150086,Overweight,yes,Dance
36,1.73,73.69,24.62160446,Normal Weight,yes,Dance
36,1.75,81.09,26.47836735,Overweight,yes,Dance
36,1.729,73.69,24.65009345,Normal Weight,yes,Dance
36,1.7298,80.39,26.86644743,Overweight,yes,Dance
36,1.66,50,18.14486863,Underweight,yes,Dance
36,1.69,62,21.70792339,Normal Weight,yes,Dance
36,1.68,68.4,24.23469388,Normal Weight,yes,Dance
36,1.59,39.6,15.66393734,Underweight,yes,Dance
36,1.75,112.2,36.63673469,Obese,yes,Dance
35,1.74,77.38,25.55819791,Overweight,yes,Dance
35,1.73,73.78,24.65167563,Normal Weight,yes,Dance
35,1.75,80.98,26.44244898,Overweight,yes,Dance
35,1.729,73.78,24.68019941,Normal Weight,yes,Dance
35,1.7298,80.38,26.86310541,Overweight,yes,Dance
35,1.7,85,29.41176471,Overweight,yes,Dance
35,1.64,48,17.84651993,Underweight,yes,Dance
35,1.71,65,22.22906193,Normal Weight,yes,Dance
35,1.72,67,22.64737696,Normal Weight,yes,Dance
35,1.65,65.2,23.94857668,Normal Weight,yes,Dance
35,1.6,40.1,15.6640625,Underweight,yes,Dance
35,1.75,85.6,27.95102041,Overweight,yes,Dance
35,1.7,98.5,34.08304498,Obese,yes,Dance
34,1.74,76.22,25.17505615,Overweight,yes,Dance
34,1.73,72.72,24.29750409,Normal Weight,yes,Dance
34,1.75,79.72,26.03102041,Overweight,yes,Dance
34,1.729,72.72,24.32561807,Normal Weight,yes,Dance
34,1.7298,79.22,26.47543184,Overweight,yes,Dance
34,1.62,46,17.52781588,Underweight,yes,Dance
34,1.73,67,22.38631428,Normal Weight,yes,Dance
34,1.72,66,22.30935641,Normal Weight,yes,Dance
34,1.71,66,22.5710475,Normal Weight,yes,Dance
34,1.7,65,22.49134948,Normal Weight,yes,Dance
34,1.73,70.9,23.68939824,Normal Weight,yes,Dance
34,1.61,40.6,15.66297597,Underweight,yes,Dance
34,1.77,86.9,27.73787864,Overweight,yes,Dance
34,1.81,120.9,36.90363542,Obese,yes,Dance
33,1.74,76.21,25.1717532,Overweight,yes,Dance
33,1.73,72.81,24.32757526,Normal Weight,yes,Dance
33,1.75,79.61,25.99510204,Overweight,yes,Dance
33,1.729,72.81,24.35572403,Normal Weight,yes,Dance
33,1.7298,79.21,26.47208982,Overweight,yes,Dance
33,1.6,44,17.1875,Underweight,yes,Dance
33,1.69,64,22.40817899,Normal Weight,yes,Dance
33,1.73,66,22.05219018,Normal Weight,yes,Dance
33,1.7,65,22.49134948,Normal Weight,yes,Dance
33,1.77,73.6,23.49261068,Normal Weight,yes,Dance
33,1.62,41.2,15.6988264,Underweight,yes,Dance
33,1.76,84.3,27.21461777,Overweight,yes,Dance
33,1.8,118.1,36.45061728,Obese,yes,Dance
32,1.74,76.2,25.16845026,Overweight,no,Cardio+strength_training
32,1.73,72.9,24.35764643,Normal Weight,no,Cardio+strength_training
32,1.75,79.5,25.95918367,Overweight,no,Cardio+strength_training
32,1.729,72.9,24.38582999,Normal Weight,no,Cardio+strength_training
32,1.6,120,46.875,Obese,no,Cardio
32,1.58,42,16.82422689,Underweight,no,Strength_training
32,1.65,60,22.03856749,Normal Weight,no,Cardio+strength_training
32,1.68,65,23.03004535,Normal Weight,no,Cardio+strength_training
32,1.7,65,22.49134948,Normal Weight,no,Cardio+strength_training
32,1.68,64,22.67573696,Normal Weight,no,Cardio+strength_training
32,1.65,61,22.40587695,Normal Weight,no,Cardio+strength_training
32,1.69,67.8,23.73866461,Normal Weight,no,Cardio+strength_training
32,1.64,42.2,15.69006544,Underweight,no,Strength_training
32,1.72,81.9,27.68388318,Overweight,no,Cardio+strength_training
32,1.77,115.7,36.93063934,Obese,no,Cardio
31,1.74,76.19,25.16514731,Overweight,no,Cardio+strength_training
31,1.73,72.99,24.3877176,Normal Weight,no,Cardio+strength_training
31,1.75,79.39,25.92326531,Overweight,no,Cardio+strength_training
31,1.729,72.99,24.41593596,Normal Weight,no,Cardio+strength_training
31,1.7298,76.07,25.42269755,Overweight,no,Cardio+strength_training
31,1.55,40,16.64932362,Underweight,no,Strength_training
31,1.68,62,21.96712018,Normal Weight,no,Cardio+strength_training
31,1.74,67,22.12973973,Normal Weight,no,Cardio+strength_training
31,1.71,66,22.5710475,Normal Weight,no,Cardio+strength_training
31,1.68,63,22.32142857,Normal Weight,no,Cardio+strength_training
31,1.63,60,22.58270917,Normal Weight,no,Cardio+strength_training
31,1.7,74.1,25.64013841,Overweight,no,Cardio+strength_training
31,1.65,43,15.7943067,Underweight,no,Strength_training
31,1.74,82.5,27.24930638,Overweight,no,Cardio+strength_training
31,1.85,132,38.56829803,Obese,no,Cardio
30,1.74,76.18,25.16184437,Overweight,no,Cardio+strength_training
30,1.73,73.08,24.41778877,Normal Weight,no,Cardio+strength_training
30,1.75,79.28,25.88734694,Overweight,no,Cardio+strength_training
30,1.729,73.08,24.44604192,Normal Weight,no,Cardio+strength_training
30,1.7298,76.06,25.41935553,Overweight,yes,Dance
30,1.68,95,33.65929705,Obese,yes,Dance
30,1.7,155,53.63321799,Obese,yes,Dance
30,1.8,175,54.01234568,Obese,yes,Dance
30,2.07,270,63.01197227,Obese,yes,Dance
30,1.86,70,20.23355301,Normal Weight,yes,Dance
30,1.7,66,22.83737024,Normal Weight,yes,Dance
30,1.72,66,22.30935641,Normal Weight,yes,Dance
30,1.69,64,22.40817899,Normal Weight,yes,Dance
30,1.65,61,22.40587695,Normal Weight,yes,Dance
30,1.865,93.4,26.85277692,Overweight,yes,Dance
30,1.87,92.3,26.39480683,Overweight,yes,Dance
30,1.68,68.7,24.34098639,Normal Weight,yes,Dance
30,1.67,44.5,15.95611173,Underweight,yes,Dance
30,1.74,79.9,26.39054036,Overweight,yes,Dance
30,1.72,106.7,36.06679286,Obese,yes,Dance
29,1.79,74.72,23.32012109,Normal Weight,yes,Dance
29,1.78,71.72,22.6360308,Normal Weight,yes,Dance
29,1.8,77.72,23.98765432,Normal Weight,yes,Dance
29,1.779,71.72,22.661486,Normal Weight,yes,Dance
29,1.7798,74.6,23.55029885,Normal Weight,yes,Dance
29,1.65,150,55.09641873,Obese,yes,Dance
29,1.75,170,55.51020408,Obese,yes,Dance
29,2.05,260,61.86793575,Obese,yes,Dance
29,1.84,68,20.08506616,Normal Weight,yes,Dance
29,1.63,58,21.8299522,Normal Weight,yes,Dance
29,1.7,64,22.14532872,Normal Weight,yes,Dance
29,1.68,63,22.32142857,Normal Weight,yes,Dance
29,1.66,62,22.4996371,Normal Weight,yes,Dance
29,1.847,90.9,26.64588151,Overweight,yes,Dance
29,1.853,89.7,26.12411605,Overweight,yes,Dance
29,1.72,69.3,23.42482423,Normal Weight,yes,Dance
29,1.66,45.7,16.58440993,Underweight,yes,Dance
29,1.75,81.4,26.57959184,Overweight,yes,Dance
29,1.76,113.8,36.73811983,Obese,yes,Dance
28,1.78,74.71,23.57972478,Normal Weight,yes,Dance
28,1.77,71.81,22.92125507,Normal Weight,yes,Dance
28,1.79,77.61,24.22209045,Normal Weight,yes,Dance
28,1.769,71.81,22.94717676,Normal Weight,yes,Dance
28,1.7698,74.59,23.81399322,Normal Weight,yes,Dance
28,1.75,75,24.48979592,Normal Weight,yes,Dance
28,1.67,145,51.99182473,Obese,yes,Dance
28,1.72,165,55.77339102,Obese,yes,Dance
28,2.02,250,61.26850309,Obese,yes,Dance
28,1.82,66,19.92512982,Normal Weight,yes,Dance
28,1.78,75,23.67125363,Normal Weight,yes,Dance
28,1.76,69,22.27530992,Normal Weight,yes,Dance
28,1.66,62,22.4996371,Normal Weight,yes,Dance
28,1.67,63,22.58955144,Normal Weight,yes,Dance
28,1.63,60,22.58270917,Normal Weight,yes,Dance
28,1.832,88.3,26.30932858,Overweight,yes,Dance
28,1.838,87.2,25.81222671,Overweight,yes,Dance
28,1.78,72.1,22.75596516,Normal Weight,yes,Dance
28,1.68,46.2,16.36904762,Underweight,yes,Dance
28,1.73,78.6,26.26215376,Overweight,yes,Dance
28,1.82,126.8,38.28040092,Obese,yes,Dance
27,1.77,74.7,23.84372307,Normal Weight,yes,Dance
27,1.76,71.9,23.2115186,Normal Weight,yes,Dance
27,1.78,77.5,24.46029542,Normal Weight,yes,Dance
27,1.759,71.9,23.23791782,Normal Weight,yes,Dance
27,1.7598,74.58,24.08217746,Normal Weight,yes,Dance
27,1.69,140,49.01789153,Obese,yes,Dance
27,1.77,160,51.07089278,Obese,yes,Dance
27,2,240,60,Obese,yes,Dance
27,1.8,64,19.75308642,Normal Weight,yes,Dance
27,1.67,63,22.58955144,Normal Weight,yes,Dance
27,1.75,68,22.20408163,Normal Weight,yes,Dance
27,1.66,62,22.4996371,Normal Weight,yes,Dance
27,1.62,59,22.48132907,Normal Weight,yes,Dance
27,1.82,85.8,25.90266876,Overweight,yes,Dance
27,1.825,84.6,25.40063802,Overweight,yes,Dance
27,1.79,76.8,23.96928935,Normal Weight,yes,Dance
27,1.69,47.5,16.63107034,Underweight,yes,Dance
27,1.71,76.3,26.09349885,Overweight,yes,Dance
27,1.84,131,38.69328922,Obese,yes,Dance
26,1.76,74.69,24.11221591,Normal Weight,yes,Dance
26,1.75,71.99,23.50693878,Normal Weight,yes,Dance
26,1.77,77.39,24.70235245,Normal Weight,yes,Dance
26,1.749,71.99,23.53382689,Normal Weight,yes,Dance
26,1.7498,74.57,24.35495428,Normal Weight,yes,Dance
26,1.64,135,50.1933373,Obese,yes,Dance
26,1.79,155,48.37551887,Obese,yes,Dance
26,1.97,230,59.26460357,Obese,yes,Dance
26,1.78,62,19.56823633,Normal Weight,yes,Dance
26,1.74,68,22.46003435,Normal Weight,yes,Dance
26,1.69,63,22.05805119,Normal Weight,yes,Dance
26,1.65,61,22.40587695,Normal Weight,yes,Dance
26,1.6,58,22.65625,Normal Weight,yes,Dance
26,1.794,83.2,25.85106555,Overweight,yes,Dance
26,1.799,82.1,25.36768466,Overweight,yes,Dance
26,1.74,71.9,23.74818338,Normal Weight,yes,Dance
26,1.71,48.9,16.72309429,Underweight,yes,Dance
26,1.76,80.2,25.8910124,Overweight,yes,Dance
26,1.86,134.1,38.76170656,Obese,yes,Dance
25,1.75,74.68,24.38530612,Normal Weight,yes,Dance
25,1.74,72.08,23.80763641,Normal Weight,yes,Dance
25,1.76,77.28,24.94834711,Normal Weight,yes,Dance
25,1.739,72.08,23.83502512,Normal Weight,yes,Dance
25,1.7398,74.56,24.63242938,Normal Weight,yes,Dance
25,1.7,130,44.98269896,Obese,yes,Dance
25,1.74,150,49.54419342,Obese,yes,Dance
25,1.95,220,57.85667324,Obese,yes,Dance
25,1.76,60,19.36983471,Normal Weight,yes,Dance
25,1.72,68,22.98539751,Normal Weight,yes,Dance
25,1.62,60,22.86236854,Normal Weight,yes,Dance
25,1.6,58,22.65625,Normal Weight,yes,Dance
25,1.77,78,24.89706023,Normal Weight,yes,Dance
25,1.77,77,24.57786715,Normal Weight,yes,Dance
25,1.76,76,24.53512397,Normal Weight,yes,Dance
25,1.76,75,24.21229339,Normal Weight,yes,Dance
25,1.786,80.7,25.29942354,Overweight,yes,Dance
25,1.781,79.5,25.06335986,Overweight,yes,Dance
25,1.75,70.5,23.02040816,Normal Weight,yes,Dance
25,1.73,49.7,16.60596746,Underweight,yes,Dance
25,1.71,77.7,26.57227865,Overweight,yes,Dance
25,1.75,100.2,32.71836735,Obese,yes,Dance
24,1.77,71.82,22.924447,Normal Weight,yes,Dance
24,1.76,69.32,22.3786157,Normal Weight,yes,Dance
24,1.78,74.32,23.45663426,Normal Weight,yes,Dance
24,1.759,69.32,22.40406764,Normal Weight,yes,Dance
24,1.781,74.32,23.43030069,Normal Weight,yes,Dance
24,1.62,125,47.62993446,Obese,yes,Dance
24,1.76,145,46.81043388,Obese,yes,Dance
24,1.92,210,56.96614583,Obese,yes,Dance
24,1.74,58,19.15708812,Normal Weight,yes,Dance
24,1.75,70,22.85714286,Normal Weight,yes,Dance
24,1.76,76,24.53512397,Normal Weight,yes,Dance
24,1.76,75,24.21229339,Normal Weight,yes,Dance
24,1.75,74,24.16326531,Normal Weight,yes,Dance
24,1.75,73,23.83673469,Normal Weight,yes,Dance
24,1.772,78.1,24.87273821,Normal Weight,yes,Dance
24,1.767,77,24.66139425,Normal Weight,yes,Dance
24,1.76,68,21.95247934,Normal Weight,yes,Dance
24,1.66,50.5,18.32631732,Underweight,yes,Dance
24,1.72,74.8,25.28393726,Overweight,yes,Dance
24,1.83,128.7,38.43052943,Obese,yes,Dance
23,1.76,71.81,23.18246384,Normal Weight,no,Cardio+strength_training
23,1.75,69.41,22.6644898,Normal Weight,no,Cardio+strength_training
23,1.77,74.21,23.68731846,Normal Weight,no,Cardio+strength_training
23,1.749,69.41,22.69041429,Normal Weight,no,Cardio+strength_training
23,1.771,74.21,23.66057579,Normal Weight,no,Cardio+strength_training
23,1.68,120,42.5170068,Obese,no,Cardio
23,1.71,140,47.87797955,Obese,no,Cardio
23,1.9,200,55.40166205,Obese,no,Cardio
23,1.72,56,18.92915089,Normal Weight,no,Cardio+strength_training
23,1.75,74,24.16326531,Normal Weight,no,Cardio+strength_training
23,1.75,73,23.83673469,Normal Weight,no,Cardio+strength_training
23,1.74,72,23.78121284,Normal Weight,no,Cardio+strength_training
23,1.74,71,23.45091822,Normal Weight,no,Cardio+strength_training
23,1.753,75.6,24.60129469,Normal Weight,no,Cardio+strength_training
23,1.746,74.4,24.40531721,Normal Weight,no,Cardio+strength_training
23,1.68,52.1,18.45946712,Underweight,no,Strength_training
23,1.7,75.9,26.26297578,Overweight,no,Cardio+strength_training
22,1.75,71.8,23.44489796,Normal Weight,no,Cardio+strength_training
22,1.74,69.5,22.95547628,Normal Weight,no,Cardio+strength_training
22,1.76,74.1,23.92174587,Normal Weight,no,Cardio+strength_training
22,1.739,69.5,22.98188465,Normal Weight,no,Cardio+strength_training
22,1.761,74.1,23.89458522,Normal Weight,no,Cardio+strength_training
22,1.762,71.901,23.15917703,Normal Weight,no,Cardio+strength_training
22,1.738,71.699,23.73632907,Normal Weight,no,Cardio+strength_training
22,1.63,95,35.75595619,Obese,no,Cardio
22,1.66,115,41.73319785,Obese,no,Cardio
22,1.69,135,47.26725255,Obese,no,Cardio
22,1.87,190,54.33383854,Obese,no,Cardio
22,1.7,54,18.68512111,Normal Weight,no,Cardio+strength_training
22,1.74,72,23.78121284,Normal Weight,no,Cardio+strength_training
22,1.76,73,23.56663223,Normal Weight,no,Cardio+strength_training
22,1.74,71,23.45091822,Normal Weight,no,Cardio+strength_training
22,1.73,70,23.38868656,Normal Weight,no,Cardio+strength_training
22,1.72,69,23.32341806,Normal Weight,no,Cardio+strength_training
22,1.709,73,24.99417088,Normal Weight,no,Cardio+strength_training
22,1.702,71.9,24.8204573,Normal Weight,no,Cardio+strength_training
22,1.8,80.2,24.75308642,Normal Weight,no,Cardio+strength_training
22,1.7,54.8,18.96193772,Normal Weight,no,Cardio+strength_training
22,1.68,72,25.51020408,Overweight,no,Cardio+strength_training
22,1.79,120.3,37.54564464,Obese,no,Cardio
21,1.74,71.79,23.71185097,Normal Weight,no,Cardio+strength_training
21,1.73,69.59,23.25169568,Normal Weight,no,Cardio+strength_training
21,1.75,73.99,24.16,Normal Weight,no,Cardio+strength_training
21,1.729,69.59,23.27859958,Normal Weight,no,Cardio+strength_training
21,1.751,73.99,24.13241222,Normal Weight,no,Cardio+strength_training
21,1.752,71.891,23.42104783,Normal Weight,no,Cardio+strength_training
21,1.728,71.689,24.00850105,Normal Weight,no,Cardio+strength_training
21,1.75,110,35.91836735,Obese,no,Cardio
21,1.71,110,37.6184125,Obese,no,Cardio
21,1.73,130,43.43613218,Obese,no,Cardio
21,1.85,180,52.59313367,Obese,no,Cardio
21,1.68,52,18.42403628,Underweight,no,Strength_training
21,1.73,70,23.38868656,Normal Weight,no,Cardio+strength_training
21,1.75,71,23.18367347,Normal Weight,no,Cardio+strength_training
21,1.73,69,23.05456246,Normal Weight,no,Cardio+strength_training
21,1.72,68,22.98539751,Normal Weight,no,Cardio+strength_training
21,1.71,67,22.91303307,Normal Weight,no,Cardio+strength_training
21,1.721,70.5,23.80276321,Normal Weight,no,Cardio+strength_training
21,1.715,69.3,23.56161123,Normal Weight,no,Cardio+strength_training
21,1.75,57.3,18.71020408,Normal Weight,no,Cardio+strength_training
21,1.7,43.4,15.01730104,Underweight,no,Strength_training
21,1.55,37.6,15.6503642,Underweight,no,Strength_training
21,1.69,73.5,25.73439305,Overweight,no,Cardio+strength_training
20,1.73,71.78,23.98342744,Normal Weight,no,Cardio+strength_training
20,1.72,69.68,23.55327204,Normal Weight,no,Cardio+strength_training
20,1.74,73.88,24.40216673,Normal Weight,no,Cardio+strength_training
20,1.719,69.68,23.58068347,Normal Weight,no,Cardio+strength_training
20,1.741,73.88,24.37414243,Normal Weight,no,Cardio+strength_training
20,1.742,71.881,23.68742264,Normal Weight,no,Cardio+strength_training
20,1.718,71.679,24.28542001,Normal Weight,no,Cardio+strength_training
20,1.72,105,35.49215792,Obese,no,Cardio
20,1.65,105,38.56749311,Obese,no,Cardio
20,1.78,125,39.45208938,Obese,no,Cardio
20,1.82,170,51.32230407,Obese,no,Cardio
20,1.66,50,18.14486863,Underweight,no,Strength_training
20,1.72,68,22.98539751,Normal Weight,no,Cardio+strength_training
20,1.73,69,23.05456246,Normal Weight,no,Cardio+strength_training
20,1.72,67,22.64737696,Normal Weight,no,Cardio+strength_training
20,1.7,66,22.83737024,Normal Weight,no,Cardio+strength_training
20,1.69,65,22.75830678,Normal Weight,no,Cardio+strength_training
20,1.705,68.9,23.70120656,Normal Weight,no,Cardio+strength_training
20,1.697,66.8,23.19598279,Normal Weight,no,Cardio+strength_training
20,1.61,44.6,17.20612631,Underweight,no,Strength_training
20,1.57,41.1,16.67410443,Underweight,no,Strength_training
20,1.56,39.4,16.19000657,Underweight,no,Strength_training
20,1.54,34.9,14.71580368,Underweight,no,Strength_training
20,1.51,31.7,13.902899,Underweight,no,Strength_training
